code,system
37242,gprdproduct
4677,gprdproduct
2145,gprdproduct
3909,gprdproduct
15746,gprdproduct
31247,gprdproduct
53416,gprdproduct
6239,gprdproduct
40388,gprdproduct
1184,gprdproduct
62154,gprdproduct
55089,gprdproduct
56011,gprdproduct
1685,gprdproduct
2991,gprdproduct
57935,gprdproduct
4887,gprdproduct
1793,gprdproduct
4529,gprdproduct
53134,gprdproduct
7795,gprdproduct
1145,gprdproduct
48232,gprdproduct
7317,gprdproduct
42214,gprdproduct
28030,gprdproduct
4785,gprdproduct
58148,gprdproduct
57688,gprdproduct
50809,gprdproduct
56446,gprdproduct
4626,gprdproduct
57963,gprdproduct
1260,gprdproduct
47805,gprdproduct
1539,gprdproduct
39265,gprdproduct
55520,gprdproduct
2144,gprdproduct
33991,gprdproduct
20915,gprdproduct
3091,gprdproduct
4772,gprdproduct
15582,gprdproduct
2632,gprdproduct
15581,gprdproduct
6336,gprdproduct
9523,gprdproduct
8601,gprdproduct
8289,gprdproduct
9323,gprdproduct
2695,gprdproduct
11585,gprdproduct
3646,gprdproduct
2631,gprdproduct
11189,gprdproduct
8804,gprdproduct
7761,gprdproduct
13553,gprdproduct
26221,gprdproduct
26260,gprdproduct
2633,gprdproduct
11957,gprdproduct
34835,gprdproduct
36724,gprdproduct
16630,gprdproduct
33148,gprdproduct
56840,gprdproduct
15034,gprdproduct
21764,gprdproduct
11616,gprdproduct
46798,gprdproduct
33661,gprdproduct
25878,gprdproduct
2619,gprdproduct
33660,gprdproduct
34318,gprdproduct
621,gprdproduct
46949,gprdproduct
18655,gprdproduct
17883,gprdproduct
7070,gprdproduct
7079,gprdproduct
61998,gprdproduct
9497,gprdproduct
8095,gprdproduct
5004,gprdproduct
4843,gprdproduct
34547,gprdproduct
6111,gprdproduct
7760,gprdproduct
8573,gprdproduct
22427,gprdproduct
43524,gprdproduct
41993,gprdproduct
4508,gprdproduct
2933,gprdproduct
1754,gprdproduct
39052,gprdproduct
33354,gprdproduct
30409,gprdproduct
14896,gprdproduct
14679,gprdproduct
25100,gprdproduct
9492,gprdproduct
56933,gprdproduct
16256,gprdproduct
9088,gprdproduct
41060,gprdproduct
32442,gprdproduct
29777,gprdproduct
3645,gprdproduct
60055,gprdproduct
17867,gprdproduct
12968,gprdproduct
8790,gprdproduct
8539,gprdproduct
10607,gprdproduct
8902,gprdproduct
9335,gprdproduct
521,gprdproduct
41014,gprdproduct
7767,gprdproduct
24651,gprdproduct
13090,gprdproduct
11978,gprdproduct
7327,gprdproduct
28803,gprdproduct
18030,gprdproduct
13882,gprdproduct
22358,gprdproduct
60941,gprdproduct
25276,gprdproduct
39130,gprdproduct
9908,gprdproduct
32253,gprdproduct
7746,gprdproduct
43615,gprdproduct
24683,gprdproduct
23011,gprdproduct
31475,gprdproduct
11596,gprdproduct
44712,gprdproduct
20322,gprdproduct
39135,gprdproduct
8940,gprdproduct
13530,gprdproduct
32059,gprdproduct
10147,gprdproduct
9719,gprdproduct
54824,gprdproduct
41688,gprdproduct
91,gprdproduct
46910,gprdproduct
32841,gprdproduct
34558,gprdproduct
34196,gprdproduct
60336,gprdproduct
41421,gprdproduct
34951,gprdproduct
1994,gprdproduct
34426,gprdproduct
779,gprdproduct
58133,gprdproduct
47803,gprdproduct
43421,gprdproduct
33992,gprdproduct
41687,gprdproduct
46911,gprdproduct
34582,gprdproduct
58386,gprdproduct
41737,gprdproduct
47810,gprdproduct
41676,gprdproduct
20530,gprdproduct
12284,gprdproduct
22876,gprdproduct
10587,gprdproduct
10459,gprdproduct
29072,gprdproduct
9622,gprdproduct
21066,gprdproduct
62071,gprdproduct
57921,gprdproduct
4787,gprdproduct
5951,gprdproduct
45845,gprdproduct
26271,gprdproduct
26246,gprdproduct
26253,gprdproduct
18787,gprdproduct
26222,gprdproduct
1753,gprdproduct
12063,gprdproduct
10700,gprdproduct
42472,gprdproduct
47722,gprdproduct
38883,gprdproduct
39035,gprdproduct
39552,gprdproduct
13446,gprdproduct
38946,gprdproduct
9295,gprdproduct
7762,gprdproduct
15069,gprdproduct
18964,gprdproduct
24671,gprdproduct
13534,gprdproduct
8428,gprdproduct
12804,gprdproduct
8324,gprdproduct
4609,gprdproduct
776,gprdproduct
44179,gprdproduct
47950,gprdproduct
8651,gprdproduct
14734,gprdproduct
11969,gprdproduct
8367,gprdproduct
7559,gprdproduct
28719,gprdproduct
16940,gprdproduct
41887,gprdproduct
55984,gprdproduct
14685,gprdproduct
8037,gprdproduct
7433,gprdproduct
8793,gprdproduct
61191,gprdproduct
19839,gprdproduct
15998,gprdproduct
54757,gprdproduct
27485,gprdproduct
20500,gprdproduct
7702,gprdproduct
12017,gprdproduct
632,gprdproduct
56416,gprdproduct
9282,gprdproduct
6343,gprdproduct
6159,gprdproduct
17256,gprdproduct
18889,gprdproduct
9744,gprdproduct
37028,gprdproduct
15083,gprdproduct
6099,gprdproduct
22726,gprdproduct
26043,gprdproduct
52245,gprdproduct
26853,gprdproduct
26266,gprdproduct
25175,gprdproduct
6110,gprdproduct
8330,gprdproduct
9308,gprdproduct
25795,gprdproduct
26251,gprdproduct
26279,gprdproduct
36181,gprdproduct
24557,gprdproduct
22752,gprdproduct
14731,gprdproduct
60826,gprdproduct
47814,gprdproduct
58079,gprdproduct
20879,gprdproduct
6821,gprdproduct
9660,gprdproduct
9703,gprdproduct
29000,gprdproduct
17571,gprdproduct
53687,gprdproduct
23772,gprdproduct
17179,gprdproduct
21380,gprdproduct
21382,gprdproduct
12151,gprdproduct
